"CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
1108,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,18,NA,1,36,169,NA,8,19,5,95,827,NA,NA,9,12,52,1282,8,31,45,72,NA,0.669,NA,0.037,1.339,6.285,NA,0.298,0.707,0.186,3.533,30.755,NA,NA,0.335,0.446,1.934,47.676,0.298,1.153,1.673,2.678,NA
1109,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,15,1,16,148,NA,4,NA,2,7,291,2,199,72,3,20,1252,6,11,7,806,NA,NA,0.524,0.035,0.559,5.171,NA,0.14,NA,0.07,0.245,10.168,0.07,6.953,2.516,0.105,0.699,43.746,0.21,0.384,0.245,28.162,NA
1110,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,83,614,NA,32,2,86,7,1609,4,58,5,10,4,2010,55,48,36,407,2,0.098,0.039,0.02,1.634,12.087,NA,0.63,0.039,1.693,0.138,31.673,0.079,1.142,0.098,0.197,0.079,39.567,1.083,0.945,0.709,8.012,0.039
1111,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,3,337,313,3,33,18,12,6,121,5,21,30,4,2,459,53,15,4,127,NA,NA,0.064,0.191,21.506,19.974,0.191,2.106,1.149,0.766,0.383,7.722,0.319,1.34,1.914,0.255,0.128,29.292,3.382,0.957,0.255,8.105,NA
1112,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,NA,1,27,121,NA,13,3,NA,1,141,NA,7,NA,9,5,754,2,5,1,206,NA,0.077,NA,0.077,2.082,9.329,NA,1.002,0.231,NA,0.077,10.871,NA,0.54,NA,0.694,0.386,58.134,0.154,0.386,0.077,15.883,NA
1113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,2,9,39,1858,3,56,7,12,12,568,4,518,25,33,13,3841,4,17,3,820,NA,0.14,0.025,0.115,0.496,23.654,0.038,0.713,0.089,0.153,0.153,7.231,0.051,6.595,0.318,0.42,0.165,48.899,0.051,0.216,0.038,10.439,NA
1114,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,2,4,2,861,NA,12,25,2,1,49,16,18,1,14,NA,873,6,7,7,240,NA,0.093,0.093,0.187,0.093,40.196,NA,0.56,1.167,0.093,0.047,2.288,0.747,0.84,0.047,0.654,NA,40.756,0.28,0.327,0.327,11.204,NA
1115,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,11,3,3,35,770,1,16,12,7,31,425,NA,80,9,11,16,2410,4,10,8,1544,NA,0.203,0.055,0.055,0.647,14.243,0.018,0.296,0.222,0.129,0.573,7.862,NA,1.48,0.166,0.203,0.296,44.58,0.074,0.185,0.148,28.561,NA
1116,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,33,33,30,504,NA,10,3,27,38,513,1,162,29,87,6,1769,10,10,14,343,NA,0.275,0.909,0.909,0.826,13.877,NA,0.275,0.083,0.743,1.046,14.124,0.028,4.46,0.798,2.395,0.165,48.706,0.275,0.275,0.385,9.444,NA
1117,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,9,1,28,97,NA,13,NA,3,8,335,5,24,1,1,25,536,53,14,NA,149,NA,0.077,0.691,0.077,2.149,7.444,NA,0.998,NA,0.23,0.614,25.71,0.384,1.842,0.077,0.077,1.919,41.136,4.068,1.074,NA,11.435,NA
1118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,723,5,7,152,1,7,1,2,1,98,10,111,2,12,NA,937,15,1,3,205,NA,0.087,31.503,0.218,0.305,6.623,0.044,0.305,0.044,0.087,0.044,4.27,0.436,4.837,0.087,0.523,NA,40.828,0.654,0.044,0.131,8.932,NA
1119,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,NA,92,1,2,68,NA,2,NA,3,7,21,NA,4,NA,NA,1,261,NA,2,3,6,NA,NA,19.45,0.211,0.423,14.376,NA,0.423,NA,0.634,1.48,4.44,NA,0.846,NA,NA,0.211,55.18,NA,0.423,0.634,1.268,NA
1120,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,6,NA,356,1523,NA,56,1,35,39,470,3,29,84,4,82,961,11,57,32,358,NA,0.097,0.146,NA,8.66,37.047,NA,1.362,0.024,0.851,0.949,11.433,0.073,0.705,2.043,0.097,1.995,23.376,0.268,1.387,0.778,8.708,NA
1121,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,5,28,1137,NA,37,2,16,6,474,2,188,4,10,93,2990,766,33,15,721,3,0.214,0.015,0.076,0.428,17.372,NA,0.565,0.031,0.244,0.092,7.242,0.031,2.872,0.061,0.153,1.421,45.684,11.704,0.504,0.229,11.016,0.046
1122,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,3,5,NA,214,1896,NA,16,NA,24,4,603,77,137,55,4,NA,2370,2,386,NA,265,NA,0.049,0.082,NA,3.531,31.282,NA,0.264,NA,0.396,0.066,9.949,1.27,2.26,0.907,0.066,NA,39.102,0.033,6.369,NA,4.372,NA
1123,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,17,200,594,1,148,NA,3,18,483,1,33,63,10,6,1890,26,25,4,170,1,0.162,0.027,0.459,5.405,16.054,0.027,4,NA,0.081,0.486,13.054,0.027,0.892,1.703,0.27,0.162,51.081,0.703,0.676,0.108,4.595,0.027
1124,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,87,2,10,46,519,1,142,15,24,67,226,NA,64,16,40,10,1756,43,63,5,1773,NA,1.772,0.041,0.204,0.937,10.572,0.02,2.893,0.306,0.489,1.365,4.604,NA,1.304,0.326,0.815,0.204,35.771,0.876,1.283,0.102,36.117,NA
1125,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,2,957,51,1,2,5,1,376,43,NA,2,NA,3,NA,325,1,82,NA,43,NA,0.053,0.053,0.105,50.475,2.69,0.053,0.105,0.264,0.053,19.831,2.268,NA,0.105,NA,0.158,NA,17.141,0.053,4.325,NA,2.268,NA
1126,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,NA,3,NA,1,5,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,718,NA,NA,1,361,NA,NA,0.271,NA,0.09,0.452,NA,NA,NA,NA,NA,NA,NA,1.537,NA,NA,NA,64.919,NA,NA,0.09,32.64,NA
1127,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,NA,NA,NA,92,216,1,12,24,4,4,61,1,7,11,19,NA,1031,5,12,NA,590,NA,NA,NA,NA,4.402,10.335,0.048,0.574,1.148,0.191,0.191,2.919,0.048,0.335,0.526,0.909,NA,49.33,0.239,0.574,NA,28.23,NA
1128,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,11,NA,101,51,NA,4,NA,NA,6,388,NA,3,NA,NA,2,380,5,20,3,94,NA,0.094,1.029,NA,9.448,4.771,NA,0.374,NA,NA,0.561,36.296,NA,0.281,NA,NA,0.187,35.547,0.468,1.871,0.281,8.793,NA
1129,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,NA,9,5,NA,NA,NA,NA,1,14,NA,1,4,9,1,303,3,4,2,249,NA,NA,0.165,NA,1.485,0.825,NA,NA,NA,NA,0.165,2.31,NA,0.165,0.66,1.485,0.165,50,0.495,0.66,0.33,41.089,NA
1130,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,6,5,NA,197,1016,NA,3,1,11,9,238,1,56,9,NA,7,2008,8,77,2,324,NA,0.151,0.126,NA,4.952,25.54,NA,0.075,0.025,0.277,0.226,5.983,0.025,1.408,0.226,NA,0.176,50.478,0.201,1.936,0.05,8.145,NA
1131,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,7,11,7,344,1,9,9,3,13,65,3,144,5,8,5,1237,1,21,2,296,NA,NA,0.319,0.502,0.319,15.701,0.046,0.411,0.411,0.137,0.593,2.967,0.137,6.572,0.228,0.365,0.228,56.458,0.046,0.958,0.091,13.51,NA
1132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,6,10,35,1617,2,16,3,36,15,320,26,68,14,97,3,1936,5,133,8,464,4,0.207,0.124,0.207,0.725,33.492,0.041,0.331,0.062,0.746,0.311,6.628,0.539,1.408,0.29,2.009,0.062,40.099,0.104,2.755,0.166,9.611,0.083
1133,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,NA,215,189,NA,2,NA,69,3,113,8,38,135,3,NA,1121,3,3,5,197,NA,0.047,0.142,NA,10.199,8.966,NA,0.095,NA,3.273,0.142,5.361,0.38,1.803,6.404,0.142,NA,53.178,0.142,0.142,0.237,9.345,NA
1134,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,15,3,42,4,70,NA,1,2,2,14,21,NA,88,1,152,4,633,2,15,2,42,NA,1.348,0.27,3.774,0.359,6.289,NA,0.09,0.18,0.18,1.258,1.887,NA,7.907,0.09,13.657,0.359,56.873,0.18,1.348,0.18,3.774,NA
1135,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,2,4,92,4,631,NA,10,NA,3,NA,104,NA,80,NA,184,NA,1817,9,8,NA,435,2,0.059,0.118,2.718,0.118,18.641,NA,0.295,NA,0.089,NA,3.072,NA,2.363,NA,5.436,NA,53.678,0.266,0.236,NA,12.851,0.059
1136,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,3,14,13,7,17,NA,5,NA,1,3,81,NA,23,3,2,2,824,63,4,NA,149,NA,0.247,1.153,1.071,0.577,1.4,NA,0.412,NA,0.082,0.247,6.672,NA,1.895,0.247,0.165,0.165,67.875,5.189,0.329,NA,12.273,NA
1137,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,2,NA,3,97,NA,1,1,2,3,36,1,75,85,NA,4,1954,23,2,1,167,NA,0.081,0.081,NA,0.122,3.945,NA,0.041,0.041,0.081,0.122,1.464,0.041,3.05,3.457,NA,0.163,79.463,0.935,0.081,0.041,6.791,NA
1138,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,NA,1,687,574,NA,67,NA,21,14,1339,1,64,11,8,76,2341,105,146,47,558,NA,0.066,NA,0.016,11.329,9.466,NA,1.105,NA,0.346,0.231,22.081,0.016,1.055,0.181,0.132,1.253,38.605,1.732,2.408,0.775,9.202,NA
1139,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,6,1,9,93,56,NA,31,NA,3,5,96,NA,3,16,14,12,584,7,10,NA,97,NA,0.575,0.096,0.863,8.917,5.369,NA,2.972,NA,0.288,0.479,9.204,NA,0.288,1.534,1.342,1.151,55.992,0.671,0.959,NA,9.3,NA
1140,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,30,9,NA,1,1,NA,3,36,NA,NA,NA,NA,NA,504,18,96,NA,5,NA,NA,NA,NA,4.267,1.28,NA,0.142,0.142,NA,0.427,5.121,NA,NA,NA,NA,NA,71.693,2.56,13.656,NA,0.711,NA
1141,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,14,4,NA,580,749,NA,14,1,1,2,71,NA,51,4,3,1,620,1,8,3,76,NA,0.635,0.182,NA,26.328,33.999,NA,0.635,0.045,0.045,0.091,3.223,NA,2.315,0.182,0.136,0.045,28.143,0.045,0.363,0.136,3.45,NA
1142,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,9,1,21,199,NA,NA,NA,3,9,391,NA,27,6,20,4,1091,10,2,1,249,NA,NA,0.441,0.049,1.028,9.741,NA,NA,NA,0.147,0.441,19.139,NA,1.322,0.294,0.979,0.196,53.402,0.489,0.098,0.049,12.188,NA
1143,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,30,74,343,NA,9,10,8,22,468,NA,31,NA,1,3,890,5,15,4,227,NA,NA,0.047,1.401,3.456,16.021,NA,0.42,0.467,0.374,1.028,21.859,NA,1.448,NA,0.047,0.14,41.569,0.234,0.701,0.187,10.603,NA
1144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,16,34,92,147,18,705,4,27,25,260,2,23,6,7,8,1731,24,25,17,261,16,0.577,0.461,0.98,2.653,4.239,0.519,20.329,0.115,0.779,0.721,7.497,0.058,0.663,0.173,0.202,0.231,49.913,0.692,0.721,0.49,7.526,0.461
1145,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,18,23,2,1,1391,NA,13,NA,1,1,41,15,61,NA,NA,NA,1287,NA,NA,NA,79,NA,0.614,0.784,0.068,0.034,47.426,NA,0.443,NA,0.034,0.034,1.398,0.511,2.08,NA,NA,NA,43.88,NA,NA,NA,2.693,NA
1146,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,NA,NA,1,14,77,NA,1,NA,NA,NA,18,NA,5,NA,NA,1,92,13,8,NA,5,NA,NA,NA,0.426,5.957,32.766,NA,0.426,NA,NA,NA,7.66,NA,2.128,NA,NA,0.426,39.149,5.532,3.404,NA,2.128,NA
1147,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,257,NA,86,1194,NA,2,NA,4,1,184,3,62,2,5,NA,1328,7,4,6,264,2,0.059,7.53,NA,2.52,34.984,NA,0.059,NA,0.117,0.029,5.391,0.088,1.817,0.059,0.146,NA,38.91,0.205,0.117,0.176,7.735,0.059
1148,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,288,5,224,1164,1,107,66,32,7,218,NA,245,12,17,5,2854,23,14,10,782,NA,0.016,4.741,0.082,3.687,19.16,0.016,1.761,1.086,0.527,0.115,3.588,NA,4.033,0.198,0.28,0.082,46.979,0.379,0.23,0.165,12.872,NA
1149,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,2,1,295,661,NA,7,126,10,82,146,33,76,26,10,NA,1127,3,17,9,169,NA,NA,0.071,0.036,10.536,23.607,NA,0.25,4.5,0.357,2.929,5.214,1.179,2.714,0.929,0.357,NA,40.25,0.107,0.607,0.321,6.036,NA
1150,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,28,NA,23,69,77,5,NA,1,21,329,NA,106,2,1,24,536,1,65,28,70,NA,0.072,2.019,NA,1.658,4.975,5.552,0.36,NA,0.072,1.514,23.72,NA,7.642,0.144,0.072,1.73,38.645,0.072,4.686,2.019,5.047,NA
1151,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,55,4,195,1089,NA,17,2,12,22,3560,23,146,3,10,155,5058,18,39,9,996,NA,0.131,0.481,0.035,1.706,9.529,NA,0.149,0.018,0.105,0.193,31.152,0.201,1.278,0.026,0.088,1.356,44.26,0.158,0.341,0.079,8.715,NA
1152,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,7,NA,49,946,2,1,NA,3,9,250,9,104,12,10,3,1238,14,12,22,171,NA,0.07,0.244,NA,1.711,33.031,0.07,0.035,NA,0.105,0.314,8.729,0.314,3.631,0.419,0.349,0.105,43.226,0.489,0.419,0.768,5.971,NA
1153,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,38,13,10,214,NA,12,NA,1,NA,2102,1,261,2,80,36,2207,6,5,3,147,NA,NA,0.74,0.253,0.195,4.165,NA,0.234,NA,0.019,NA,40.911,0.019,5.08,0.039,1.557,0.701,42.954,0.117,0.097,0.058,2.861,NA
1154,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,13,NA,89,213,NA,7,NA,NA,NA,123,NA,4,NA,3,NA,409,1,2,NA,26,NA,0.112,1.459,NA,9.989,23.906,NA,0.786,NA,NA,NA,13.805,NA,0.449,NA,0.337,NA,45.903,0.112,0.224,NA,2.918,NA
1155,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,NA,NA,295,104,NA,1,NA,1,NA,2,NA,2,NA,NA,NA,445,NA,6,NA,28,NA,0.113,NA,NA,33.333,11.751,NA,0.113,NA,0.113,NA,0.226,NA,0.226,NA,NA,NA,50.282,NA,0.678,NA,3.164,NA
1156,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,12,73,72,1,1,2,5,NA,272,3,42,34,63,2,1099,3,5,2,124,NA,NA,0.055,0.661,4.02,3.965,0.055,0.055,0.11,0.275,NA,14.978,0.165,2.313,1.872,3.469,0.11,60.518,0.165,0.275,0.11,6.828,NA
1157,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,12,3,13,293,NA,2,NA,7,2,69,3,67,1,1,21,1030,8,40,5,571,NA,0.279,0.557,0.139,0.604,13.603,NA,0.093,NA,0.325,0.093,3.203,0.139,3.11,0.046,0.046,0.975,47.818,0.371,1.857,0.232,26.509,NA
1158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,117,129,1,51,13,69,28,1291,2,79,2,3,102,2492,29,31,9,664,NA,0.059,0.039,0.039,2.286,2.52,0.02,0.996,0.254,1.348,0.547,25.22,0.039,1.543,0.039,0.059,1.993,48.681,0.567,0.606,0.176,12.971,NA
1159,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,16,16,71,210,NA,57,2,3,21,116,NA,60,NA,7,4,1017,20,59,5,387,NA,0.096,0.772,0.772,3.425,10.13,NA,2.75,0.096,0.145,1.013,5.596,NA,2.894,NA,0.338,0.193,49.059,0.965,2.846,0.241,18.669,NA
1160,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,104,118,241,3,12,6,3,12,231,7,24,3,39,6,1116,3,15,NA,254,1,NA,NA,4.732,5.369,10.965,0.136,0.546,0.273,0.136,0.546,10.51,0.318,1.092,0.136,1.774,0.273,50.773,0.136,0.682,NA,11.556,0.045
1161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,47,145,3,63,616,10,107,3,41,30,359,2,289,74,10,5,2696,10,12,9,531,NA,0.928,2.864,0.059,1.245,12.169,0.198,2.114,0.059,0.81,0.593,7.092,0.04,5.709,1.462,0.198,0.099,53.26,0.198,0.237,0.178,10.49,NA
1162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,11,196,73,1,38,5,22,44,365,3,31,75,6,7,1137,26,7,10,395,NA,0.122,0.041,0.448,7.98,2.972,0.041,1.547,0.204,0.896,1.792,14.862,0.122,1.262,3.054,0.244,0.285,46.295,1.059,0.285,0.407,16.083,NA
1163,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,3,48,127,63,NA,35,3,860,211,1101,1,117,21,111,121,1573,21,25,271,1072,NA,0.121,0.052,0.829,2.193,1.088,NA,0.604,0.052,14.851,3.644,19.012,0.017,2.02,0.363,1.917,2.089,27.163,0.363,0.432,4.68,18.511,NA
1164,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,42,225,4,180,NA,5,11,1019,1,52,33,6,24,1781,18,29,12,138,1,0.111,0.028,0.084,1.17,6.269,0.111,5.015,NA,0.139,0.306,28.392,0.028,1.449,0.919,0.167,0.669,49.624,0.502,0.808,0.334,3.845,0.028
1165,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,12,5,NA,28,763,1,3,NA,4,2,693,NA,49,2,84,5,1045,19,1,5,259,NA,0.403,0.168,NA,0.94,25.604,0.034,0.101,NA,0.134,0.067,23.255,NA,1.644,0.067,2.819,0.168,35.067,0.638,0.034,0.168,8.691,NA
1166,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,6,794,NA,30,700,1,53,1,8,7,95,NA,41,NA,3,6,2055,1,4,11,214,NA,0.149,19.702,NA,0.744,17.37,0.025,1.315,0.025,0.199,0.174,2.357,NA,1.017,NA,0.074,0.149,50.993,0.025,0.099,0.273,5.31,NA
1167,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,122,5,94,1491,NA,23,NA,7,45,1210,52,437,8,16,3,2949,21,22,8,548,NA,0.198,1.724,0.071,1.329,21.074,NA,0.325,NA,0.099,0.636,17.102,0.735,6.177,0.113,0.226,0.042,41.682,0.297,0.311,0.113,7.746,NA
1168,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,NA,32,957,NA,31,NA,5,98,284,2,165,2,35,4,1684,67,12,16,185,2,0.028,0.084,NA,0.893,26.695,NA,0.865,NA,0.139,2.734,7.922,0.056,4.603,0.056,0.976,0.112,46.974,1.869,0.335,0.446,5.16,0.056
1169,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,43,13,1062,NA,115,1,6,8,76,3,437,2,27,2,2768,1,4,NA,1524,NA,0.016,0.049,0.705,0.213,17.421,NA,1.886,0.016,0.098,0.131,1.247,0.049,7.169,0.033,0.443,0.033,45.407,0.016,0.066,NA,25,NA
1170,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,NA,13,395,NA,1,NA,15,2,335,171,25,1,1,5,1136,1,49,11,148,NA,0.086,0.13,NA,0.562,17.07,NA,0.043,NA,0.648,0.086,14.477,7.39,1.08,0.043,0.043,0.216,49.092,0.043,2.118,0.475,6.396,NA
1171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,49,58,1368,7,18,2,155,17,858,21,53,12,21,9,2880,7,22,17,392,NA,0.034,0.017,0.821,0.972,22.918,0.117,0.302,0.034,2.597,0.285,14.374,0.352,0.888,0.201,0.352,0.151,48.249,0.117,0.369,0.285,6.567,NA
1172,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,8,NA,396,1148,NA,33,NA,8,5,147,NA,6,NA,6,1,1353,6,9,11,105,NA,0.092,0.247,NA,12.203,35.378,NA,1.017,NA,0.247,0.154,4.53,NA,0.185,NA,0.185,0.031,41.695,0.185,0.277,0.339,3.236,NA
1173,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,541,1431,NA,49,NA,NA,43,296,2,97,NA,3,5,2857,1,11,NA,667,NA,0.017,0.017,0.017,9.008,23.826,NA,0.816,NA,NA,0.716,4.928,0.033,1.615,NA,0.05,0.083,47.569,0.017,0.183,NA,11.106,NA
1174,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,4,14,426,4,18,NA,9,82,628,1,55,124,32,2,1612,42,18,2,271,NA,0.06,0.06,0.119,0.418,12.724,0.119,0.538,NA,0.269,2.449,18.757,0.03,1.643,3.704,0.956,0.06,48.148,1.254,0.538,0.06,8.094,NA
1175,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,632,1766,NA,23,5,25,30,245,12,333,601,19,3,7057,7,28,11,671,1,0.061,0.061,0.009,5.503,15.378,NA,0.2,0.044,0.218,0.261,2.133,0.104,2.9,5.233,0.165,0.026,61.451,0.061,0.244,0.096,5.843,0.009
1176,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,NA,NA,1,6,52,NA,2,1,6,NA,47,1,5,7,2,NA,405,NA,NA,10,74,NA,NA,NA,0.162,0.969,8.401,NA,0.323,0.162,0.969,NA,7.593,0.162,0.808,1.131,0.323,NA,65.428,NA,NA,1.616,11.955,NA
1177,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,2,5,2,53,18,NA,10,NA,1,250,50,NA,16,NA,1,1,582,8,27,NA,73,NA,0.182,0.455,0.182,4.823,1.638,NA,0.91,NA,0.091,22.748,4.55,NA,1.456,NA,0.091,0.091,52.957,0.728,2.457,NA,6.642,NA
1178,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,208,711,NA,38,4,94,19,143,3,165,15,15,5,1368,10,18,21,216,NA,0.033,0.131,0.033,6.8,23.243,NA,1.242,0.131,3.073,0.621,4.675,0.098,5.394,0.49,0.49,0.163,44.72,0.327,0.588,0.686,7.061,NA
1179,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,8,6,73,203,1,212,1,43,3,62,3,114,1,7,2,1394,36,14,8,633,1,NA,0.283,0.212,2.584,7.186,0.035,7.504,0.035,1.522,0.106,2.195,0.106,4.035,0.035,0.248,0.071,49.345,1.274,0.496,0.283,22.407,0.035
1180,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,131,129,NA,28,7,7,66,243,1,5,2,15,21,2455,318,8,14,149,NA,0.083,NA,NA,3.637,3.581,NA,0.777,0.194,0.194,1.832,6.746,0.028,0.139,0.056,0.416,0.583,68.157,8.828,0.222,0.389,4.137,NA
1181,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,6,NA,215,1046,NA,16,3,19,4,881,1,114,5,10,16,3571,13,91,16,301,NA,0.079,0.095,NA,3.395,16.517,NA,0.253,0.047,0.3,0.063,13.911,0.016,1.8,0.079,0.158,0.253,56.387,0.205,1.437,0.253,4.753,NA
